Protein IDs	Ratio	pValue
Q9ULA0	0.766699099	0.386464
P25787	0.767222717	0.362494
P13716	0.769051021	0.361839
O00560	0.769448234	0.714181
P02533	0.769723825	0.927478
P41218	0.770141965	0.982342
P04899	0.771250384	0.509373
P33121	0.772590218	0.731897
Q76LX8	0.772673892	0.324268
P02647	0.772954089	0.205204
P17980	0.774832605	0.522452
P49862	0.774899438	0.58017
Q9UM07	0.775132282	0.914288
O94804	0.77548593	0.865585
P34910	0.77659212	0.914277
P07358	0.777163694	0.288297
Q9H2G2	0.77729005	0.604579
Q14254	0.777886305	0.644146
Q9NP59	0.778142634	0.502448
P02654	0.780747829	0.186346
Q9NZB2	0.780866901	0.642105
P49721	0.781954502	0.391503
Q01432	0.782720431	0.292959
Q8NBI5	0.783006609	0.629934
P25788	0.784291346	0.399566
O95498	0.784676537	0.881376
Q8NHG7	0.785578531	0.706892
Q5JSL3	0.785902635	0.816263
Q96EY5	0.786458958	0.972548
P26583	0.7867391	0.834673
Q66K74	0.78797207	0.876408
P22105	0.788714378	0.739909
Q8N6Q3	0.788847412	0.879588
Q8NDX1	0.790589707	0.994586
P68871	0.791396051	0.593658
P08697	0.791424181	0.39191
P45974	0.791860569	0.849286
Q00013	0.799261909	0.451618
P46940	0.799948807	0.980955
Q15166	0.800219414	0.391933
P05546	0.800288588	0.502494
Q9UHG3	0.800514257	0.299392
O75695	0.800954678	0.434378
P28482	0.801128148	0.967671
P50990	0.801221355	0.420513
O15162	0.801282288	0.597293
P03952	0.802374942	0.374253
Q5TC84	0.804786481	0.671403
P67775	0.806123899	0.346175
P24071	0.806444217	0.989295
Q08830	0.8075435	0.816002
O43427	0.807556519	0.967876
Q99436	0.807687287	0.819639
Q15027	0.808311424	0.906594
Q9UGM5	0.808659274	0.809166
Q8IU68	0.808691133	0.815669
P19823	0.810637108	0.391456
P08575	0.810892212	0.540588
Q9UNM6	0.811728809	0.310143
P29972	0.811757084	0.577525
Q13790	0.812061642	0.475374
Q6K0P9	0.812769965	0.789458
P62191	0.813174928	0.432834
P36955	0.813245489	0.556518
P00352	0.815956123	0.479392
Q5K651	0.816140941	0.831425
P48634	0.816306154	0.644816
Q71RC9	0.816799692	0.594765
Q4KMQ2	0.817734146	0.861172
Q16401	0.818319131	0.508405
P46459	0.819146311	0.364743
Q13362	0.819295351	0.740264
P62879	0.819561077	0.561216
P61201	0.820403456	0.682224
Q9UKD2	0.82198937	0.398684
Q9HAV0	0.822052684	0.540947
P59768	0.822604875	0.695859
P29144	0.823352077	0.436412
Q53TN4	0.82338093	0.685924
Q9BYC5	0.824122021	0.868625
P29622	0.824403102	0.632867
Q9UNN5	0.824407229	0.882722
O43586	0.825012972	0.940852
P27105	0.825625854	0.608246
P00734	0.826592503	0.577412
Q9UK55	0.827405272	0.626894
Q15848	0.827559438	0.622599
P48506	0.828325386	0.562891
O75367	0.828355153	0.779436
P63092	0.829138777	0.562588
P61225	0.82951717	0.554297
P78362	0.829618168	0.730245
P27169	0.830199726	0.288673
P07900	0.830378481	0.518935
Q9H9H4	0.830460678	0.902969
Q9UN37	0.832663562	0.819367
Q6JBY9	0.833446429	0.944893
P43251	0.834409239	0.506408
O95685	0.834550143	0.982706
Q16537	0.834616983	0.686144
Q9NRQ2	0.834870969	0.326525
Q969X1	0.835641066	0.704879
P08754	0.835975122	0.561473
P21281	0.836698205	0.509913
P30613	0.836842843	0.562076
Q14157	0.837182064	0.924139
Q9UJ70	0.837385241	0.631965
Q8TD19	0.841583913	0.810417
O14526	0.841597417	0.687106
P63010	0.841605019	0.612721
P09493	0.841624153	0.621698
O00233	0.841710238	0.744831
Q4KMP7	0.841711988	0.725682
Q16775	0.84217183	0.600283
P16401	0.842918201	0.877241
P20742	0.842994317	0.992297
P31939	0.843231068	0.637888
O43815	0.844508823	0.872464
P0C0L4	0.8455569	0.86125
P15090	0.847016574	0.656035
Q15722	0.847621173	0.941504
A0A0C4DH67	0.847846259	0.346133
P46976	0.8494673	0.991907
Q6FHJ7	0.8500345	0.507869
P00918	0.850185322	0.808909
Q9H6X2	0.851354066	0.826442
P69905	0.851795385	0.696173
O60573	0.852316398	0.924163
P00441	0.852910751	0.720458
Q9Y315	0.853593382	0.682497
P0C0S5	0.854386047	0.678473
O76094	0.854854181	0.95671
Q96PL5	0.855004209	0.819311
Q9NS86	0.855188848	0.582624
P17936	0.855351352	0.478877
P49757	0.857425883	0.945039
Q16531	0.857557338	0.993304
Q8IZ83	0.857957663	0.594976
Q15052	0.858018664	0.924561
P08519	0.85831515	0.796708
P01042	0.858881209	0.596958
Q9NP58	0.85898197	0.622279
P61018	0.859365706	0.597321
P00740	0.859435836	0.655462
P12724	0.859774327	0.945246
P61163	0.861510258	0.975398
