Protein IDs	Ratio	pValue
Q13867	0.825481656	0.510191
O75116	0.825542913	0.198891
P02760	0.825951557	0.439401
Q9H8L6	0.827666474	0.127949
Q9UK55	0.828146623	0.400298
Q96IY4	0.828767242	0.128086
Q8IU68	0.829690965	0.822293
P02652	0.829812358	0.18302
P35613	0.830377993	0.353088
P23634	0.831309464	0.518809
P60900	0.831462212	0.500417
P48643	0.831549441	0.415077
P60891	0.83203971	0.315554
P51659	0.832361336	0.489811
Q9C0C9	0.832542324	0.50591
P60228	0.832549771	0.986568
Q9UBX1	0.834150604	0.407207
P27824	0.834373463	0.944205
P33151	0.835395659	0.164317
P21730	0.840207318	0.730842
Q7Z4W1	0.840284704	0.24499
P50281	0.841098081	0.665109
P17980	0.841226848	0.655617
P20963	0.843011627	0.749169
P00352	0.843094184	0.585944
Q92783	0.843363712	0.906643
P49720	0.843398223	0.527184
Q13214	0.843594715	0.445094
Q99986	0.844225865	0.982438
P55072	0.844620846	0.419631
Q53TN4	0.845001668	0.70917
Q9NP59	0.845122707	0.426979
P25788	0.84513083	0.481705
P01732	0.845131389	0.413258
P62195	0.84523976	0.39464
P02656	0.846529861	0.19938
P01903	0.84671268	0.369654
P48745	0.848141411	0.982874
P02778	0.848229078	0.362529
P08493	0.848516295	0.641012
Q9HCB6	0.848727716	0.78475
A5D8V6	0.849843041	0.666648
P33176	0.849845999	0.226206
O43143	0.849846289	0.746236
Q92522	0.85115072	0.575146
P00742	0.851571309	0.491091
P53634	0.851666554	0.50535
Q16531	0.851761169	0.752768
Q9P2E3	0.852544362	0.768792
P30613	0.853176859	0.430375
Q9Y5C1	0.853735771	0.767859
P10909	0.853814519	0.249282
Q14974	0.854745444	0.601152
P23246	0.857288479	0.996578
P00387	0.857650848	0.502452
P06899	0.857957879	0.742131
P08637	0.858212256	1
P13611	0.858274626	0.630507
P45974	0.858370727	0.996413
Q14956	0.859827835	0.600077
Q8WUM4	0.859952045	0.801438
Q8IZ83	0.859976291	0.688312
P29144	0.860000659	0.441246
O43324	0.860420602	0.237414
Q14CB8	0.860848479	0.916828
P15169	0.861508087	0.482918
Q9NS86	0.861765757	0.356031
P0DOY2	0.862772799	0.617537
P48426	0.86371353	0.461758
P49721	0.863920876	0.534274
Q8NI99	0.864370447	0.350859
Q9Y4D1	0.86497553	0.539258
Q16270	0.865362143	0.702605
P48506	0.866305949	0.644912
P08571	0.867083882	0.401688
O75340	0.867140392	0.464161
P25787	0.867963823	0.655366
P41218	0.868625008	0.980926
P05164	0.868988629	0.617885
P25786	0.869563771	0.632899
P62736	0.86967253	0.20522
Q9ULH1	0.869690077	0.390957
P16050	0.869696399	0.0498376
P61201	0.870491655	0.683931
P25025	0.87102519	0.956604
Q9Y613	0.871048938	0.553031
O43681	0.872164029	0.817228
Q9NVJ2	0.872735966	0.507022
P02775	0.872736982	0.688613
P10809	0.872868685	0.938805
P13798	0.873214907	0.742275
O14950	0.873592415	0.35852
Q92614	0.873599499	0.635255
P00740	0.873650607	0.617648
Q709C8	0.873653888	0.982466
P00403	0.875254095	0.841774
P24844	0.875671081	0.432166
P21462	0.876215622	0.853654
P15144	0.876609187	0.645852
O00391	0.877044488	0.60372
Q12846	0.877643639	0.450086
O60884	0.877831115	0.702756
Q9P107	0.878431887	0.58472
Q9NP58	0.878462765	0.792664
Q06830	0.879350906	0.392328
O00159	0.879620579	0.506974
Q9NRQ2	0.879803518	0.632533
P02747	0.880200293	0.353823
