Protein IDs	Ratio	pValue
P13489	1.091462713	0.783809
P13497	0.945675948	0.789168
P13501	0.531445459	0.436386
P13611	0.788572535	0.532528
P13639	1.25681464	0.433659
P13645	0.945477006	0.416443
P13646	0.945342075	0.385439
P13647	1.182561333	0.703163
P13667	0.832076896	0.306672
P13671	1.073607968	0.799939
P13686	0.845122471	0.506712
P13716	1.233195495	0.399625
P13796	0.881951324	0.73683
P13797	0.768902231	0.443439
P13798	1.16185894	0.408245
P13807	0.127466468	0.974952
P13929	1.063606582	0.952154
P13942	0.912404187	0.680197
P14151	0.769347707	0.15093
P14174	0.855349957	0.432934
P14317	0.729947035	0.944193
P14543	0.756468167	0.389267
P14598	1.582663772	0.0228696
P14618	1.357713932	0.083083
P14625	0.888383167	0.416084
P14649	0.519890295	0.0425344
P14678	0.99271354	0.916025
P14770	1.17547412	0.295675
P14780	0.786028387	0.789305
P14866	1.331381283	0.116094
P14868	1.059420906	0.791324
P14902	0.610288113	0.150434
P14923	1.204513007	0.848278
P15090	0.706056469	0.398057
P15144	1.28510481	0.556357
P15153	1.721893691	0.0442647
P15169	0.859788248	0.408962
P15170	1.323276394	0.344602
P15311	1.062895652	0.694121
P15498	1.579853394	0.0491899
P15531	1.046797024	0.952462
P15880	1.028016231	0.828577
P15907	0.775585959	0.396366
P15924	1.122383803	0.804129
P16050	2.103510428	0.222733
P16070	1.20568493	0.395897
P16109	0.553940156	0.425177
P16152	0.880810011	0.486287
P16157	0.985610761	0.966679
P16284	1.176735301	0.802317
P16298	0.931944193	0.868221
P16333	1.231135485	0.499891
P16401	0.927300835	0.624366
P16403	0.720905213	0.470656
P16452	0.897327868	0.916796
P16671	1.073606864	0.69025
P16885	1.735109468	0.0539415
P17213	0.95982103	0.810884
P17252	1.286306804	0.190531
P17301	0.810268774	0.248827
P17612	1.184555234	0.38535
P17676	1.908223812	0.0425758
P17844	1.576499243	0.0218182
P17858	1.085626931	0.671594
P17927	1.337396501	0.366112
P17931	1.695137231	0.183573
P17936	0.876211418	0.354465
P17980	1.085688499	0.691924
P17987	0.862530928	0.597649
P18031	1.668192371	0.200718
P18065	0.474009103	0.0864545
P18085	2.018895535	0.245103
P18124	1.17798131	0.33465
P18206	1.072178338	0.50403
P18428	0.806093136	0.310569
P18433	1.002965276	0.983011
P18577	0.854098543	0.945783
P18627	0.752040264	0.296081
P19086	0.917010895	0.511247
P19256	0.999084301	0.812174
P19338	0.89664384	0.638176
P19367	0.940483597	0.896305
P19525	1.386591201	0.139595
P19652	1.308138184	0.611126
P19823	0.902928257	0.613138
P19827	1.042180823	0.995368
P19878	1.803221114	0.0381651
P19971	0.706123707	0.182633
P20020	1.042818815	0.792368
P20042	1.261030363	0.182824
P20062	0.945101535	0.988235
P20073	1.002485453	0.951751
P20160	1.158879812	0.789058
P20290	1.214613867	0.357981
P20338	1.310185101	0.392523
P20339	1.253327877	0.10609
P20618	1.087464509	0.722207
P20701	0.974114572	0.787876
P20702	1.569526244	0.501424
P20742	0.932443448	0.86932
P20774	0.515757427	0.131354
P20936	1.508159221	0.304746
P20963	0.704141369	0.802711
P21281	1.282642508	0.130698
P21291	1.095761298	0.744964
P21333	0.788398135	0.38578
P21462	1.357412699	0.87322
P21730	1.10404759	0.93693
P21810	0.887543694	0.722167
P21926	0.796867086	0.0946859
P21980	1.132355505	0.722497
P22061	0.944779908	0.889947
P22087	0.917246387	0.434027
P22105	0.848747946	0.544379
P22234	1.072978805	0.59576
P22303	1.284857956	0.384644
P22314	1.014620082	0.851477
P22352	1.018717058	0.980812
P22460	1.225471242	0.603468
P22626	1.190662702	0.282889
P22681	1.6186038	0.0084
P22692	0.709789481	0.283263
P22694	1.328781157	0.220341
P22748	1.210795844	0.639611
P22792	1.036797727	0.965411
P23083	1.111585727	0.81047
P23142	0.952729866	0.789544
P23193	0.818061309	0.595192
P23229	1.025598567	0.3807
P23246	0.915143987	0.601179
P23276	1.104393924	0.644216
P23284	0.781880355	0.219258
P23381	0.791570526	0.307622
P23396	1.367366733	0.167632
P23467	0.719048443	0.112527
P23526	1.147739608	0.392773
P23528	1.195485273	0.562523
P23560	0.808391617	0.742899
P23634	1.098972528	0.639807
P23743	1.898858974	0.0671921
P24071	1.204796329	0.845945
P24158	0.704147649	0.197622
P24534	1.079698951	0.828304
P24593	0.982489719	0.821854
P24666	1.135373271	0.845375
P24844	0.428728913	0.276444
P25025	1.397661127	0.362854
P25090	1.659457762	0.619896
P25098	1.410504849	0.0231837
P25311	1.512929259	0.555214
P25325	0.972911094	0.7198
P25685	1.261568539	0.103831
P25686	1.433240168	0.870248
P25705	0.702919378	0.331262
P25774	0.853417788	0.563245
P25786	1.171444752	0.545435
P25787	1.131306209	0.453749
