##Data analysis and visualization were performed with SeekSoul‑Tools (version 1.0.0) 
##https://seeksoul.online/cloudplatform)‑doc/zh/document/Software/3_SeekSoul_Tools/
##Raw sequencing reads have been deposited in the NCBI SRA under BioProject accession PRJNA1520949 (http://www.ncbi.nlm.nih.gov/bioproject/1520949)


p_val	avg_log2FC	pct.1	pct.2	cluster	gene
0	1.284304503	0.749	0.323	12	Six3
0	1.152141106	0.98	0.76	12	Plvap
9.82E-305	1.19189372	0.937	0.66	12	Egr1
2.96E-292	1.147808336	0.941	0.685	12	Arl15
2.92E-284	1.269221526	0.985	0.834	12	Fos
9.79E-274	1.037095646	0.477	0.153	12	Chrm2
3.46E-250	1.045592856	0.941	0.715	12	Plpp1
2.90E-249	1.216323002	0.883	0.61	12	Zfp36
3.44E-244	1.123113906	0.901	0.643	12	Irf1
1.06E-240	1.191191929	0.867	0.612	12	Ier2
3.51E-218	1.230629621	0.882	0.633	12	Klf2
1.49E-217	0.952093512	0.915	0.62	12	Cd24a
8.80E-201	0.904166248	0.886	0.684	12	Rdx
4.07E-200	0.953873675	0.65	0.322	12	Fam167b
6.75E-198	0.951295207	0.963	0.844	12	Jun
4.20E-194	0.855192627	0.469	0.182	12	Ripply3
3.85E-188	1.034853119	0.821	0.55	12	Nr4a1
6.35E-177	0.947544919	0.842	0.621	12	Kdr
1.45E-173	1.04426161	0.796	0.529	12	Insr
1.66E-164	1.014145959	0.899	0.685	12	Btg2
2.20E-162	0.846678173	0.811	0.578	12	Msi2
1.70E-161	0.909293287	0.765	0.488	12	Socs3
1.30E-156	0.853853862	0.568	0.286	12	Piezo2
7.68E-156	0.902520384	0.692	0.406	12	Emp2
1.12E-130	0.841198598	0.65	0.405	12	Scarb1
5.12E-125	0.84630928	0.718	0.497	12	Shank3
1.87E-117	0.824745346	0.794	0.587	12	Prkch
9.84E-114	0.837389475	0.801	0.585	12	Igfbp3
3.01E-109	0.812562404	0.636	0.404	12	Lrmda
1.32E-26	0.899438143	0.507	0.407	12	Hspa1a
0	2.352816342	0.892	0.32	13	Six3
0	2.096154169	0.95	0.618	13	Kdr
0	2.08667068	0.914	0.526	13	Insr
0	2.001426266	0.981	0.715	13	Plpp1
0	1.944517756	0.757	0.218	13	Exoc3l2
0	1.942500319	0.857	0.374	13	Hecw2
0	1.933960066	0.508	0.053	13	Meis1
0	1.887083582	0.688	0.204	13	Pdia5
0	1.839773782	0.623	0.15	13	Chrm2
0	1.823796262	0.754	0.281	13	Piezo2
0	1.773066373	0.901	0.576	13	Msi2
0	1.764597446	0.964	0.685	13	Arl15
