p_value	morans_test_statistic	morans_I	gene_short_name	q_value
0.9883167209836142	-2.267387605	-0.00171875	Spag8	0.9887901535197465
0.9883167209836132	-2.267387605	-0.00171875	Hpca	0.9887901535197465
0.5476260415378551	-0.11966577	-0.00171941	Cdh10	0.7918283676864812
0.5476654556034193	-0.119765277	-0.001720178	Gtsf1	0.7918283676864812
0.5493627885373917	-0.124051596	-0.001720208	Gm16174	0.7918283676864812
0.5462952708401714	-0.116306722	-0.001720397	Zfp992	0.7918283676864812
0.5500288614580484	-0.125734266	-0.001720477	Ttc39d	0.7918283676864812
0.5539030720166208	-0.135528723	-0.001722937	Htr3b	0.7918283676864812
0.5484978359120221	-0.121867029	-0.001726714	Col6a4	0.7918283676864812
0.5344200709180047	-0.086385645	-0.001727789	Nrbf2	0.7918283676864812
0.5342669545929184	-0.086000411	-0.001728062	Paics	0.7918283676864812
0.5531488829608117	-0.133621055	-0.001728093	4930467D21Rik	0.7918283676864812
0.5530957830270383	-0.133486761	-0.001728665	Elmo3	0.7918283676864812
0.5483844014751563	-0.121580577	-0.00172939	4931431B13Rik	0.7918283676864812
0.5483325409292709	-0.121449618	-0.001729463	Gm16059	0.7918283676864812
0.5483356422027257	-0.121457449	-0.001730254	Gm12827	0.7918283676864812
0.5500696362692681	-0.125837285	-0.001730573	Gm34655	0.7918283676864812
0.5486055309528743	-0.122138997	-0.001730914	Prrt1	0.7918283676864812
0.5532442166786536	-0.133862168	-0.001731952	Gm26740	0.7918283676864812
0.5350777921374985	-0.088040589	-0.001733626	Tada2a	0.7918283676864812
0.5349970362593713	-0.08783738	-0.001734149	Apoo	0.7918283676864812
0.5428850163605957	-0.107704667	-0.001734548	Hook1	0.7918283676864812
0.5486571863218451	-0.122269448	-0.001734712	Pcdhb6	0.7918283676864812
0.5484440558152502	-0.121731218	-0.001735791	Pcdhb10	0.7918283676864812
0.5382298027794051	-0.095975042	-0.001736697	Sema5b	0.7918283676864812
0.5502883213662307	-0.126389823	-0.001737683	Gm15816	0.7918283676864812
0.5539515704079864	-0.135651413	-0.001738128	Hpgd	0.7918283676864812
0.5510732045300804	-0.128373261	-0.001738232	Prob1	0.7918283676864812
0.5489995347464744	-0.123134073	-0.001740519	Lrrc8e	0.7918283676864812
0.5492637395929393	-0.123801403	-0.001740694	Bcl11a	0.7918283676864812
0.5349489859465539	-0.087716471	-0.001742885	Nudt3	0.7918283676864812
0.5498026256412732	-0.125162697	-0.001743053	Gm36264	0.7918283676864812
0.551613964731917	-0.129740081	-0.00174402	Adgrg2	0.7918283676864812
0.5498252135751279	-0.125219762	-0.001745834	Tcf24	0.7918283676864812
0.5372887802592574	-0.093605627	-0.001746216	Mir670hg	0.7918283676864812
0.5434846713370308	-0.109216646	-0.001746359	Kirrel3os	0.7918283676864812
0.5355113395057722	-0.089131604	-0.001746746	Trp53rka	0.7918283676864812
0.5505843227339673	-0.127137774	-0.001747361	Spaca1	0.7918283676864812
0.5474804956016339	-0.119298327	-0.001749304	Abca17	0.7918283676864812
0.5496194463761472	-0.124699937	-0.00174971	Scml2	0.7918283676864812
0.5368219714993657	-0.092430438	-0.001750069	Gm19705	0.7918283676864812
0.5364004734509267	-0.091369428	-0.001751145	Pard6g	0.7918283676864812
0.5498454041506469	-0.12527077	-0.001751905	Gm10419	0.7918283676864812
0.5360608795240367	-0.090514665	-0.001753057	Sgpp2	0.7918283676864812
0.5459195575335327	-0.115358609	-0.001753433	Slc4a1	0.7918283676864812
0.5626250638347503	-0.157628084	-0.001753922	Cpvl	0.7918283676864812
0.5516418554183715	-0.129810584	-0.001754123	Gm38293	0.7918283676864812
0.549979850900803	-0.12561044	-0.001755537	Wnt16	0.7918283676864812
0.5381084487822686	-0.095669453	-0.001756322	Syt1	0.7918283676864812
0.5356121021587282	-0.089385187	-0.001759591	P4hb	0.7918283676864812
0.5502797456085959	-0.126368155	-0.001761103	Cilp	0.7918283676864812
0.536065133602391	-0.090525372	-0.001761579	Gtf3c3	0.7918283676864812
0.5506644414935138	-0.127340234	-0.001761954	Fcer2a	0.7918283676864812
0.5516891831929802	-0.129930222	-0.001762526	Gm30934	0.7918283676864812
0.5503863698612144	-0.126637569	-0.00176273	Fam209	0.7918283676864812
0.5450966888985221	-0.113282461	-0.001762857	Pcsk9	0.7918283676864812
0.5400878312829017	-0.100654997	-0.001763275	9330160F10Rik	0.7918283676864812
0.5520676653027169	-0.130887037	-0.001763378	Gm48095	0.7918283676864812
0.5359029267838576	-0.090117118	-0.001763384	Eif4e2	0.7918283676864812
0.5511144976514776	-0.128477624	-0.001763706	Gm28424	0.7918283676864812
0.5523152497530999	-0.131513004	-0.001764524	Spata2l	0.7918283676864812
0.5509671989006981	-0.12810535	-0.001764787	Gm12718	0.7918283676864812
0.5361750859289626	-0.090802117	-0.001765076	Soat1	0.7918283676864812
0.5604558780617407	-0.15212513	-0.001765631	Gria2	0.7918283676864812
0.5368661302792148	-0.092541602	-0.00176645	Zbtb14	0.7918283676864812
0.5509571853340978	-0.128080043	-0.001766921	Clcn1	0.7918283676864812
0.5512511349429555	-0.128822969	-0.001768616	Hspa1l	0.7918283676864812
0.5512808271111336	-0.128898017	-0.001768883	Tubb1	0.7918283676864812
0.5564883384870885	-0.142071761	-0.001768902	Adam22	0.7918283676864812
0.5366620826284677	-0.092027948	-0.001769451	Gm15886	0.7918283676864812
0.5547827342687099	-0.137754391	-0.001770035	Tspan10	0.7918283676864812
0.5513517707875908	-0.129077332	-0.001770615	Myh15	0.7918283676864812
0.5538570635176592	-0.135412334	-0.001771553	Peli3	0.7918283676864812
0.5509842839163427	-0.128148529	-0.001771785	Vinac1	0.7918283676864812
0.9924432344737527	-2.429647088	-0.001771863	Gm13620	0.9928129578713747
0.5371171111839238	-0.093173436	-0.00177531	4933405D12Rik	0.7918283676864812
0.5516313818498424	-0.129784108	-0.001775322	Gm43156	0.7918283676864812
0.5515407254624489	-0.129554948	-0.001776642	4930404I05Rik	0.7918283676864812
0.5474335923087342	-0.119179919	-0.001776938	3300005D01Rik	0.7918283676864812
